0,0.31306252
5000,3.9453363
10000,7.829198
15000,9.226466
20000,10.840593
25000,9.828909
30000,13.624952
35000,17.33974
40000,17.979586
45000,20.033552
50000,24.151781
55000,22.304232
60000,29.825466
65000,33.09137
70000,42.620308
75000,47.94639
80000,54.720085
85000,60.85861
90000,65.9173
95000,68.82349
100000,73.31659
105000,75.01501
110000,73.080765
115000,70.01441
120000,74.819466
125000,68.53914
130000,72.88748
135000,64.40805
140000,63.630447
145000,66.14787
150000,71.0712
155000,65.18805
160000,75.43025
165000,71.35223
170000,79.826126
175000,82.28462
180000,84.11036
185000,85.73416
190000,87.059326
195000,89.03622
200000,91.31831
205000,91.015366
210000,91.72829
215000,92.73208
